cod,nome,Ano,Taxa Feminicídio,cod_estado,estado
1100205,11,1989,14,11,Rondônia
5300108,53,1989,23,53,Distrito Federal
5208707,52,1989,16,52,Goiás
5103403,51,1989,5,51,Mato Grosso
5002704,50,1989,11,50,Mato Grosso do Sul
4314902,43,1989,32,43,Rio Grande do Sul
4205407,42,1989,3,42,Santa Catarina
4106902,41,1989,15,41,Paraná
3550308,35,1989,287,35,São Paulo
3304557,33,1989,85,33,Rio de Janeiro
3205309,32,1989,18,32,Espírito Santo
3106200,31,1989,26,31,Minas Gerais
2927408,29,1989,28,29,Bahia
2800308,28,1989,4,28,Sergipe
2704302,27,1989,30,27,Alagoas
2611606,26,1989,45,26,Pernambuco
2507507,25,1989,12,25,Paraíba
2408102,24,1989,6,24,Rio Grande do Norte
2304400,23,1989,27,23,Ceará
2211001,22,1989,13,22,Piauí
2111300,21,1989,13,21,Maranhão
1721000,17,1989,0,17,Tocantins
1600303,16,1989,2,16,Amapá
1501402,15,1989,18,15,Pará
1400100,14,1989,12,14,Roraima
1302603,13,1989,28,13,Amazonas
1200401,12,1989,6,12,Acre
1100205,11,1990,12,11,Rondônia
1200401,12,1990,6,12,Acre
1302603,13,1990,28,13,Amazonas
1400100,14,1990,19,14,Roraima
1501402,15,1990,28,15,Pará
1600303,16,1990,3,16,Amapá
1721000,17,1990,0,17,Tocantins
2111300,21,1990,15,21,Maranhão
2211001,22,1990,3,22,Piauí
2304400,23,1990,22,23,Ceará
2408102,24,1990,10,24,Rio Grande do Norte
2507507,25,1990,8,25,Paraíba
2611606,26,1990,55,26,Pernambuco
2704302,27,1990,14,27,Alagoas
2800308,28,1990,5,28,Sergipe
2927408,29,1990,14,29,Bahia
3106200,31,1990,21,31,Minas Gerais
3205309,32,1990,11,32,Espírito Santo
3304557,33,1990,187,33,Rio de Janeiro
3550308,35,1990,240,35,São Paulo
4106902,41,1990,21,41,Paraná
4205407,42,1990,5,42,Santa Catarina
4314902,43,1990,30,43,Rio Grande do Sul
5002704,50,1990,12,50,Mato Grosso do Sul
5103403,51,1990,4,51,Mato Grosso
5208707,52,1990,16,52,Goiás
5300108,53,1990,40,53,Distrito Federal
1100205,11,1991,11,11,Rondônia
1200401,12,1991,9,12,Acre
1302603,13,1991,16,13,Amazonas
1400100,14,1991,8,14,Roraima
1501402,15,1991,29,15,Pará
1600303,16,1991,5,16,Amapá
1721000,17,1991,0,17,Tocantins
2111300,21,1991,23,21,Maranhão
2211001,22,1991,6,22,Piauí
2304400,23,1991,24,23,Ceará
2408102,24,1991,4,24,Rio Grande do Norte
2507507,25,1991,3,25,Paraíba
2611606,26,1991,62,26,Pernambuco
2704302,27,1991,20,27,Alagoas
2800308,28,1991,2,28,Sergipe
2927408,29,1991,3,29,Bahia
3106200,31,1991,29,31,Minas Gerais
3205309,32,1991,12,32,Espírito Santo
3304557,33,1991,97,33,Rio de Janeiro
3550308,35,1991,323,35,São Paulo
4106902,41,1991,21,41,Paraná
4205407,42,1991,1,42,Santa Catarina
4314902,43,1991,25,43,Rio Grande do Sul
5002704,50,1991,11,50,Mato Grosso do Sul
5103403,51,1991,6,51,Mato Grosso
5208707,52,1991,30,52,Goiás
5300108,53,1991,52,53,Distrito Federal
1100205,11,1992,14,11,Rondônia
1200401,12,1992,9,12,Acre
