cod;nome;período;valor
1100205;11;1989;14
5300108;53;1989;23
5208707;52;1989;16
5103403;51;1989;5
5002704;50;1989;11
4314902;43;1989;32
4205407;42;1989;3
4106902;41;1989;15
3550308;35;1989;287
3304557;33;1989;85
3205309;32;1989;18
3106200;31;1989;26
2927408;29;1989;28
2800308;28;1989;4
2704302;27;1989;30
2611606;26;1989;45
2507507;25;1989;12
2408102;24;1989;6
2304400;23;1989;27
2211001;22;1989;13
2111300;21;1989;13
1721000;17;1989;0
1600303;16;1989;2
1501402;15;1989;18
1400100;14;1989;12
1302603;13;1989;28
1200401;12;1989;6
1100205;11;1990;12
1200401;12;1990;6
1302603;13;1990;28
1400100;14;1990;19
1501402;15;1990;28
1600303;16;1990;3
1721000;17;1990;0
2111300;21;1990;15
2211001;22;1990;3
2304400;23;1990;22
2408102;24;1990;10
2507507;25;1990;8
2611606;26;1990;55
2704302;27;1990;14
2800308;28;1990;5
2927408;29;1990;14
3106200;31;1990;21
3205309;32;1990;11
3304557;33;1990;187
3550308;35;1990;240
4106902;41;1990;21
4205407;42;1990;5
4314902;43;1990;30
5002704;50;1990;12
5103403;51;1990;4
5208707;52;1990;16
5300108;53;1990;40
1100205;11;1991;11
1200401;12;1991;9
1302603;13;1991;16
1400100;14;1991;8
1501402;15;1991;29
1600303;16;1991;5
1721000;17;1991;0
2111300;21;1991;23
2211001;22;1991;6
2304400;23;1991;24
2408102;24;1991;4
2507507;25;1991;3
2611606;26;1991;62
2704302;27;1991;20
2800308;28;1991;2
2927408;29;1991;3
3106200;31;1991;29
3205309;32;1991;12
3304557;33;1991;97
3550308;35;1991;323
4106902;41;1991;21
4205407;42;1991;1
4314902;43;1991;25
5002704;50;1991;11
5103403;51;1991;6
5208707;52;1991;30
5300108;53;1991;52
1100205;11;1992;14
1200401;12;1992;9
1302603;13;1992;25
1400100;14;1992;7
1501402;15;1992;20
1600303;16;1992;4
1721000;17;1992;1
2111300;21;1992;12
2211001;22;1992;7
